major_name,cluster,cluster_label
CT Tích hợp tiếng Pháp thương mại,0,Ngành Cạnh tranh Cao
CT ĐHNNQT Kinh doanh quốc tế theo mô hình tiên tiến Nhật Bản,0,Ngành Cạnh tranh Cao
CT ĐHNNQT Kinh doanh số,0,Ngành Cạnh tranh Cao
CT ĐHNNQT Logistics và Quản lý chuỗi cung ứng,0,Ngành Cạnh tranh Cao
CT ĐHNNQT Luật Kinh doanh quốc tế theo mô hình thực hành nghề nghiệp,0,Ngành Cạnh tranh Cao
CT ĐHNNQT Marketing số,0,Ngành Cạnh tranh Cao
CT ĐHNNQT Quản trị khách sạn,0,Ngành Cạnh tranh Cao
CT ĐHNNQT truyền thông Marketing tích hợp,0,Ngành Cạnh tranh Cao
CT ĐHNNQT ĐHNNQT Kế toán - Kiểm toán theo định hướng ACCA,0,Ngành Cạnh tranh Cao
CT ĐHPTQT Kinh tế chính trị quốc tế,0,Ngành Cạnh tranh Cao
CTĐT Nghệ thuật và thiết kế,0,Ngành Cạnh tranh Cao
CTĐT Toán học định hướng giảng dạy bằng tiếng Anh,0,Ngành Cạnh tranh Cao
CTĐT Toán học định hướng giảng dạy bằng tiếng Việt,0,Ngành Cạnh tranh Cao
CTĐT định hướng giáo viên Tiếng Anh,0,Ngành Cạnh tranh Cao
Chip bán dẫn và Công nghệ đóng gói,0,Ngành Cạnh tranh Cao
Chuyên ngành Chính sách công thuộc ngành Chính trị học,0,Ngành Cạnh tranh Cao
Chuyên ngành Công nghệ Game (kỹ sư),0,Ngành Cạnh tranh Cao
Chuyên ngành Hệ thống thông tin thương mại điện tử thuộc ngành Hệ thống thông tin,0,Ngành Cạnh tranh Cao
Chuyên ngành Kinh tế du lịch thuộc ngành Kinh tể,0,Ngành Cạnh tranh Cao
Chuyên ngành Kỹ thuật phần mềm ô tô (kỹ sư),0,Ngành Cạnh tranh Cao
Chuyên ngành Phân tích dữ liệu (kỹ sư),0,Ngành Cạnh tranh Cao
Chuyên ngành Quản lý di sản văn hóa và phát triển du lịch thuộc ngành Quản lý văn hóa,0,Ngành Cạnh tranh Cao
Chuyên ngành Quản trị Logistics và chuỗi cung ứng số,0,Ngành Cạnh tranh Cao
Chuyên ngành Quản trị dịch vụ du lịch và lữ hành số,0,Ngành Cạnh tranh Cao
Chuyên ngành Quản trị dự án Công nghệ thông tin,0,Ngành Cạnh tranh Cao
Chuyên ngành Quản trị thông tin thuộc ngành Thông tin - thư viện,0,Ngành Cạnh tranh Cao
Chuyên ngành Thanh tra thuộc ngành Luật,0,Ngành Cạnh tranh Cao
Chuyên ngành Thiết kế Mỹ thuật số (cử nhân),0,Ngành Cạnh tranh Cao
Chuyên ngành Thiết kế vi mạch bán dẫn (kỹ sư),0,Ngành Cạnh tranh Cao
Chuyên ngành Thư ký văn phòng doanh nghiệp thuộc ngành Quản trị văn phòng,0,Ngành Cạnh tranh Cao
Chuyên ngành Văn hóa Du lịch thuộc ngành Văn hóa học,0,Ngành Cạnh tranh Cao
Chuyên ngành Văn hóa Truyền thông thuộc ngành Văn hóa học,0,Ngành Cạnh tranh Cao
Chuyên ngành Văn thư - Lưu trữ thuộc ngành Lưu trữ học,0,Ngành Cạnh tranh Cao
Chuyên ngành: Thư viên - Thiết bị trường học,0,Ngành Cạnh tranh Cao
Chuyên ngành: Văn thư - Lưu trữ,0,Ngành Cạnh tranh Cao
Chính trị học,1,Ngành Cạnh tranh Khá
"Chính trị học, chuyên ngành Chính trị phát triển",0,Ngành Cạnh tranh Cao
"Chính trị học, chuyên ngành Công tác tư tưởng - văn hóa",0,Ngành Cạnh tranh Cao
"Chính trị học, chuyên ngành Truyền thông chính sách",0,Ngành Cạnh tranh Cao
"Chính trị học, chuyên ngành Tư tưởng Hồ Chí Minh",0,Ngành Cạnh tranh Cao
Chăm sóc sắc đẹp từ Dược liệu,0,Ngành Cạnh tranh Cao
Chăn nuôi,0,Ngành Cạnh tranh Cao
Chăn nuôi (Chương trình nâng cao),0,Ngành Cạnh tranh Cao
Chăn nuôi - Thú y,0,Ngành Cạnh tranh Cao
Chăn nuôi thú y,0,Ngành Cạnh tranh Cao
Chăn nuôi thú y - Thủy sản,0,Ngành Cạnh tranh Cao
Chương trình Công nghệ tài chính,0,Ngành Cạnh tranh Cao
Chương trình Kế toán tích hợp chứng chỉ nghề nghiệp quốc tế ACCA,0,Ngành Cạnh tranh Cao
Chương trình Kế toán tích hợp chứng chỉ nghề nghiệp quốc tế ICAEW,0,Ngành Cạnh tranh Cao
Chương trình Kế toán tích hợp chứng chỉ quốc tể,0,Ngành Cạnh tranh Cao
Chương trình tiên tiến Việt - Mỹ ngành Kỹ thuật Điện tử viễn thông,0,Ngành Cạnh tranh Cao
Chương trình tiên tiến Việt-Mỹ ngành Hệ thống Nhúng và IoT,0,Ngành Cạnh tranh Cao
Chương trình tiên tiến ngành Kỹ thuật tài nguyên nước,0,Ngành Cạnh tranh Cao
Chương trình tiên tiến ngành Kỹ thuật xây dựng,0,Ngành Cạnh tranh Cao
Chương trình đào tạo Cơ khí – Tự động Hóa (thuộc ngành Công nghệ Kỹ thuật Cơ khí) (đào tạo bằng tiếng Anh),0,Ngành Cạnh tranh Cao
Chương trình đào tạo Khoa học thực phẩm & Dinh dưỡng (thuộc ngành Công nghệ thực phẩm) (đào tạo bằng tiếng Việt),0,Ngành Cạnh tranh Cao
Chương trình đào tạo Kỹ thuật Thiết kế vi mạch (thuộc ngành CNKT Điện tử - viễn thông) (đào tạo bằng tiếng Việt),0,Ngành Cạnh tranh Cao
