rule,antecedents,consequents,support,confidence,lift
TH:B08 → Cạnh tranh:Trung bình,TH:B08,Cạnh tranh:Trung bình,0.0053,0.3347,1.472
Cạnh tranh:Cao + TH:C01 → Ngành:Kỹ thuật - Công nghệ,Cạnh tranh:Cao + TH:C01,Ngành:Kỹ thuật - Công nghệ,0.0057,0.4559,1.4582
Cạnh tranh:Trung bình + TH:A00 + Xu hướng:Ổn định → Ngành:Kỹ thuật - Công nghệ,Cạnh tranh:Trung bình + TH:A00 + Xu hướng:Ổn định,Ngành:Kỹ thuật - Công nghệ,0.0077,0.4523,1.4465
Cạnh tranh:Trung bình + TH:A00 → Ngành:Kỹ thuật - Công nghệ,Cạnh tranh:Trung bình + TH:A00,Ngành:Kỹ thuật - Công nghệ,0.0138,0.4504,1.4404
TH:C02 → Cạnh tranh:Trung bình,TH:C02,Cạnh tranh:Trung bình,0.0109,0.3222,1.417
TH:C02 + Xu hướng:Ổn định → Ngành:Kỹ thuật - Công nghệ,TH:C02 + Xu hướng:Ổn định,Ngành:Kỹ thuật - Công nghệ,0.0085,0.4421,1.414
TH:C02 → Ngành:Kỹ thuật - Công nghệ,TH:C02,Ngành:Kỹ thuật - Công nghệ,0.0149,0.4396,1.406
Cạnh tranh:Thấp + TH:A00 → Ngành:Kỹ thuật - Công nghệ,Cạnh tranh:Thấp + TH:A00,Ngành:Kỹ thuật - Công nghệ,0.0204,0.4383,1.4017
Cạnh tranh:Thấp + TH:C02 → Ngành:Kỹ thuật - Công nghệ,Cạnh tranh:Thấp + TH:C02,Ngành:Kỹ thuật - Công nghệ,0.0058,0.438,1.4009
TH:A02 → Cạnh tranh:Trung bình,TH:A02,Cạnh tranh:Trung bình,0.0059,0.3163,1.3911
TH:C04 + Xu hướng:Ổn định → Cạnh tranh:Thấp,TH:C04 + Xu hướng:Ổn định,Cạnh tranh:Thấp,0.0126,0.6004,1.3903
TH:C04 → Ngành:Kinh tế - Quản trị,TH:C04,Ngành:Kinh tế - Quản trị,0.0118,0.328,1.3879
Cạnh tranh:Thấp + TH:A00 + Xu hướng:Ổn định → Ngành:Kỹ thuật - Công nghệ,Cạnh tranh:Thấp + TH:A00 + Xu hướng:Ổn định,Ngành:Kỹ thuật - Công nghệ,0.0119,0.4337,1.3871
TH:C04 + Xu hướng:Ổn định → Ngành:Kinh tế - Quản trị,TH:C04 + Xu hướng:Ổn định,Ngành:Kinh tế - Quản trị,0.0069,0.3271,1.384
TH:C04 → Cạnh tranh:Thấp + Xu hướng:Ổn định,TH:C04,Cạnh tranh:Thấp + Xu hướng:Ổn định,0.0126,0.3508,1.3814
Cạnh tranh:Trung bình + TH:A01 + Xu hướng:Ổn định → Ngành:Kỹ thuật - Công nghệ,Cạnh tranh:Trung bình + TH:A01 + Xu hướng:Ổn định,Ngành:Kỹ thuật - Công nghệ,0.0063,0.431,1.3784
TH:C04 → Cạnh tranh:Thấp,TH:C04,Cạnh tranh:Thấp,0.0214,0.5947,1.377
TH:C02 + Xu hướng:Ổn định → Cạnh tranh:Trung bình,TH:C02 + Xu hướng:Ổn định,Cạnh tranh:Trung bình,0.006,0.312,1.3723
Cạnh tranh:Trung bình + TH:A01 → Ngành:Kỹ thuật - Công nghệ,Cạnh tranh:Trung bình + TH:A01,Ngành:Kỹ thuật - Công nghệ,0.0113,0.4289,1.3719
Ngành:Kỹ thuật - Công nghệ + Xu hướng:Tăng → Cạnh tranh:Trung bình,Ngành:Kỹ thuật - Công nghệ + Xu hướng:Tăng,Cạnh tranh:Trung bình,0.0089,0.3081,1.3552
TH:D07 → Cạnh tranh:Trung bình,TH:D07,Cạnh tranh:Trung bình,0.0196,0.3074,1.3519
TH:B00 → Cạnh tranh:Trung bình,TH:B00,Cạnh tranh:Trung bình,0.0107,0.3071,1.3506
Ngành:Kỹ thuật - Công nghệ + TH:D07 → Cạnh tranh:Trung bình,Ngành:Kỹ thuật - Công nghệ + TH:D07,Cạnh tranh:Trung bình,0.0071,0.3066,1.3484
